id,name,size,subcategory_id
bf373f7e-d188-4f42-96ea-9244e96501fd,طبة لحام 32 مم,مم,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
9ca6a40e-9085-46df-9556-5b3be9c34d45,طبة لحام 32 مم UV أسود,مم,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
51bc216e-6821-4449-8799-f45755a64d7f,طبة لحام 40 مم,مم,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
d1962309-447f-499e-8d3f-d1cbdd175408,طبة لحام 40 مم UV أسود,مم,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
228b872a-ad95-4ef2-8801-648a4d2367de,طبة لحام 50 مم,مم,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
a4c8169e-9c80-4d9c-bf7a-66720833489b,طبة لحام 50 مم UV أسود,مم,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
5f4d3113-82fb-4c96-8c7f-b2df343d7560,طبة لحام 63 مم,مم,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
8d9cc4b6-57d3-450a-a5fa-c820b93299b7,طبة لحام 63 مم UV أسود,مم,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
1bb84352-6ffd-46c8-8843-9439516a6274,طبة لحام 75 مم,مم,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
b7e9af8b-2d0d-47b2-a966-fa1a4b167e82,طبة لحام 90 مم,مم,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
02594612-55be-42fa-ac04-abecadcc75b2,قفيز PPR 20 مم,مم,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
5cefe5ab-571b-46cf-8cae-b5196126855b,قفيز PPR 25 مم,مم,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
4c6222b8-d0e8-49e8-b158-70400cad1431,قفيز PPR 32 مم,مم,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
5a7b963e-c21f-4455-8512-47cd30f7f6ee,كوع بسن خارجي 1 × 32 مم,مم,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
6d0bae32-c4f1-4687-8370-d113479b8bad,كوع بسن خارجي 2/1 × 20 مم,مم,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
7acbdd6b-4e41-49e6-8c71-5becafd9e341,كوع بسن خارجي 2/1 × 25 مم,مم,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
8d7e3fc8-042b-4b0e-986e-8f0a2275c7a0,كوع بسن خارجي 4/3 × 25 مم,مم,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
43a70340-a8c6-4363-a757-98a74295cee9,كوع بسن داخلي 1 × 32 مم,مم,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
d7723cde-3ef1-4a94-97bc-4e4dcfc5b8b3,كوع بسن داخلي 1/2 × 20 مم,مم,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
941d15a0-0d01-4a0b-b3cb-c80f42547591,كوع بسن داخلي 1/2 × 25 مم,مم,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
aa558652-f0c8-4794-ace7-e366a18c3068,كوع بسن داخلي 4/3 × 25 مم,مم,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
d4af4dd5-7492-4de6-8ba9-8a2c135ca400,كوع بسن داخلي 4/3 × 32 مم,مم,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
67676ac4-5e14-4b6d-adbd-6b9f0a82d851,كوع كرنك قصير 20 مم,مم,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
ffbed123-e6ce-438d-a945-75c19ab9fd88,كوع كرنك قصير 25 مم,مم,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
4b718b53-9cf9-4999-94f4-bb48337b0971,كوع كرنك قصير 32 مم,مم,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
8c0bc17f-fee8-49ca-a8e6-eb308aa40ae3,كوع كرنك لحام 20 مم,مم,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
80de5a33-d948-4c2a-9d87-3ffd75d9467b,كوع كرنك لحام 25 مم,مم,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
1faf9d76-3010-4a6d-955a-4a16893fdd94,كوع كرنك لحام 25 مم,مم,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
aa624e33-707e-4ade-9987-4903e280f3fb,كوع كرنك لحام 32 مم,مم,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
55bb4c57-ed4c-4d67-8417-5f5f6e1eee51,كوع لحام 45 درجة 110 مم,مم,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
9b7b6a3b-b369-40dd-8b18-60d4b5bef652,كوع لحام 45 درجة 160 مم,مم,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
7d824580-43b7-43a5-9b29-078485849b7a,كوع لحام 45 درجة 20 مم,مم,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
59bdbe45-f3b0-4064-88f4-9d237d463a99,كوع لحام 45 درجة 25 مم,مم,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
35c4d4a4-187c-4928-ab47-929108c9156a,كوع لحام 45 درجة 25 مم UV أسود,مم,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
87bbd622-7dae-4af3-8d71-bd1d9c8cffe4,كوع لحام 45 درجة 32 مم,مم,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
f6401c16-321b-4f7b-ac4d-b8caf6b7ad71,كوع لحام 45 درجة 32 مم UV أسود,مم,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
900bc7bd-cf85-49ae-b202-28140f0e9345,كوع لحام 45 درجة 40 مم,مم,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
6b5e0efc-e72a-47e3-a5b1-8a5d80c3e56b,كوع لحام 45 درجة 50 مم,مم,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
0deee250-f0cc-4597-afcd-660daa611f06,كوع لحام 45 درجة 63 مم,مم,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
c9ed405c-3bfe-465a-9d7e-c2c6e0397d94,كوع لحام 45 درجة 75 مم,مم,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
40b0dfa5-0bf5-4a28-a663-38c806d8c7d1,كوع لحام 45 درجة 90 مم,مم,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
c771d3e1-12e8-410c-a2d2-ffd8205a6eb1,كوع لحام 45 درجة ذكر 20 مم,مم,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
32747a22-f1f9-4043-a5ad-6dfc0bd18b33,كوع لحام 45 درجة ذكر 25 مم,مم,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
d9168a60-95b7-4fd9-8928-48800c02a6b5,كوع لحام 90 درجة 110 مم,مم,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
2102f351-ef40-4135-8eeb-6d52423a8825,كوع لحام 90 درجة 160 مم,مم,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
0867bcd6-e44f-405b-b439-944ac207448e,كوع لحام 90 درجة 20 مم,مم,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
90768175-01d4-4b3c-a23d-d6f19774115d,كوع لحام 90 درجة 25 مم,مم,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
48f95019-c8aa-4dc0-ad92-8aed62d43db7,كوع لحام 90 درجة 25 مم UV أسود,مم,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
5aef0cf0-3fa3-429c-8850-f7972e7e57b2,كوع لحام 90 درجة 32 مم,مم,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
f5ccbeaf-cceb-40bb-94dc-6e8fea68b2aa,كوع لحام 90 درجة 32 مم UV أسود,مم,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
2619481e-4ff6-4124-bcd6-69787991db4b,كوع لحام 90 درجة 40 مم,مم,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
84b4ddf8-cb6b-4b36-a403-7b54db65f051,كوع لحام 90 درجة 40 مم UV أسود,مم,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
ca5f4ba2-d1e8-4878-bcc7-952cc967e9ae,كوع لحام 90 درجة 50 مم,مم,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
4a4c1aac-a413-4da9-afad-7f120204aba3,كوع لحام 90 درجة 50 مم UV أسود,مم,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
542787b6-96b0-4240-a999-f298d265dade,كوع لحام 90 درجة 63 مم,مم,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
7c0caadb-420e-47d8-a303-211df81a80c5,كوع لحام 90 درجة 63 مم UV أسود,مم,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
81f2cff4-2815-40d3-942b-460b7a7f8431,كوع لحام 90 درجة 75 مم,مم,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
0919308c-4ac2-45e7-8a67-5455198b5a53,كوع لحام 90 درجة 90 مم,مم,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
0a99b77f-a28b-4ad6-9dc1-d9e6808b3591,كوع لحام 90 درجة ذكر 20 مم,مم,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
